id,price,moonRank,💎 score (%),storeURL,Armor,Background,Chain,Eyes,Innate Virtue,Mouth,Over Head,Rebel,Skin,Special
2,100,5665,0,https://magiceden.io/item-details/F3MUY3DSVJeUTpNNWZkZZtBqickj7WddjQYR2qVVy5m3,Crystals Collector,Purple,None,Subatomic Goggles,Unbreakable Defense,Rude Tongue,Outlaw Hat,,Base,
18,15,7694,0,https://magiceden.io/item-details/CCu2wB7erkmYw5PW6RKKu9nMwty4N2PfzjuYHdXdmETr,None,Peach,None,Green Force,Unbreakable Defense,Volcano Melter,Outlaw Hat,,Emerald,
19,8,4597,37.31,https://magiceden.io/item-details/9CmLueR7ioUcpDiy2rMTzPRNmcSuTJhiL7udVznnDBut,Unchained,Green,None,Hijacked,Annihilating Power,Bushy Beard,Arachnid Colony,,Base,
20,100,5612,0,https://magiceden.io/item-details/AMVbj8i2yfYVHHoabiBEZnKCAbmgsvxkEYgJcCYKVc1M,None,Aquamarina,None,Lost Eye Patch,Unbreakable Defense,Solana Bandana,Blue Crystal,,Rainbow,
28,8.5,3205,38.58,https://magiceden.io/item-details/79f6jCSW4guzRWMVhEchGRL8SdYksqoKUw2cjoSHAc63,None,Black,Padlock,Lost Eye Patch,Annihilating Power,Human Teeth,Halo,,White Quartz,
30,10.4,3919,16.36,https://magiceden.io/item-details/6oK2c99qC86kd6gcFSgobKkXjbu9jPphX41iy9KjpGvP,Solana Bulletproof Vest,Blue,None,Analysis,Annihilating Power,Human Teeth,Outlaw Hat,,Base,
32,20,1464,0,https://magiceden.io/item-details/8CLyEbDwfjHp5SmWuns52n4U9X1rDLED7RpZh7HDMJek,Silver Knight,Dangerous Laboratory,None,None,Unbreakable Defense,None,Ice Beast Mask,,Flubber,
52,6.6,4041,53.81,https://magiceden.io/item-details/9ZoMds5ouezA4oj5P1TAzunoyb2FsW3puPMVV3HLKGH3,None,Enchanted Forest,Silver Cuban,Blue Force,Supreme Intelligence,Reptilian Tongue,Degen Hat,,Yellow Energy,
62,6.066,3681,60.77,https://solanart.io/search/?token=C7MQQcHHvNjzt5gArab1H4yHFGLJdoRfVWMNfE5Q21b6,Bullet Belt,Green,None,Lost Eye Patch,Unbreakable Defense,Emerald Smasher Teeth,Degen Hat,,Scaly Albino,
66,7,2037,58.83,https://magiceden.io/item-details/6TSfFoVWe77yL6rkmvfmuC2frtij8dvhsVd86wDR99qB,Convicted,Purple,Tribal Necklace,Subatomic Goggles,Supreme Intelligence,Bushy Beard,Red Stones Mohican,,Black Obsidian,
67,12,4345,0,https://magiceden.io/item-details/8mkA5ZT5weTtCzap8dqnc2vzuamHd8tW3FPPTxDyrw7T,RG Brawl,Purple,None,Green Force,Unbreakable Defense,Crude Ogre,Bird Family,,Lava,
68,15,1916,0,https://magiceden.io/item-details/DbnUoX9zy8R7Lz2T7j4WahFt8ehQzyZskN7igaeUUkvL,Crystals Collector,Green,None,Cyclop,Supreme Intelligence,Rude Words,Safari Hat,,Scaly Albino,
70,10,3263,23.32,https://magiceden.io/item-details/6LuWzVyaycTe1UcEHyTWVFoP83gViWS5u1BEHWLkFfpG,Unchained,Raging Volcano,None,Neon Shades,Annihilating Power,Monster,Outlaw Hat,,Muddy,
96,25,5616,0,https://magiceden.io/item-details/HtVBdxCYYTudBnXpA96h7R1TZf11ZAfsNM3M2HkgJzbW,Bullet Belt,Purple,None,Lost Eye Patch,Annihilating Power,Reptilian Tongue,Emerald Spine,,Mossy,
116,5.35,2405,73.68,https://magiceden.io/item-details/2UiELoiq2XxGtLyTmLhPnSQwoqUn2oA8LtyNMPTLL6pN,Bronze Knight,Purple,Boxing Gloves,Red Force,Unbreakable Defense,Crude Ogre,Outlaw Hat,,Base,
117,19,572,0,https://magiceden.io/item-details/FkMX2guwR2CP6ErFZ8Be4cZKHUD2LLrQce6pyswJeZh3,Convicted,Raging Volcano,Rainbow Cuban,Lost Eye Patch,Unbreakable Defense,Volcano Melter,Halo,,Muddy,
127,15.99,903,0,https://magiceden.io/item-details/Et3zuJSp4BFL7KNR9mEXxfV77bGTcWoqPzLaYkep372V,Inner Reactor,Terrifying Grotto,None,Red Force,Supreme Intelligence,Monster,Degen Hat,,Emerald,
135,7,2431,57.06,https://magiceden.io/item-details/A7YK7umvgR9aLe5WZ5Nn42RPhfqsCG7xgV6FCfzhFrFu,Crystals Collector,Black,Tribal Necklace,Subatomic Goggles,Supreme Intelligence,Sabertooth,None,,Mossy,
142,10,5267,14.3,https://solanart.io/search/?token=AwGDC9oAvqQ7cbuvbCpqx8tA7zzPt4h7RR8zjSGk3cMp,None,Purple,Golem Head,Red Force,Annihilating Power,Bushy Beard,Safari Hat,,Muddy,
147,6.23,7200,43.3,https://magiceden.io/item-details/GMjbkt2WjFeJ4xLo3MXu96sAPoxpiaRDyBGxLJm47EM,None,Crystalline Cave,None,None,Annihilating Power,Volcano Melter,Skeleton Mask,,Emerald,
154,9,3076,34.16,https://magiceden.io/item-details/8zGccbtznU1akYei2da2aKswJ3KBTNH2tbP4drXgbcWG,Red Spartan,Purple,None,Purple Force,Annihilating Power,Sabertooth,Buccaneer Hat,,Scaly,
167,6.9,7453,35.46,https://magiceden.io/item-details/AkFLE7zVMcKkESwTPDRWzWUVexKLfBN5K9sHEcUEp4Tr,None,Yellow,None,Purple Force,Annihilating Power,6ixn9ne Rainbow Grillz,Safari Hat,,Grey Marble,
171,12.99,863,4.22,https://magiceden.io/item-details/2mN14wN5D64LTdThfVTqckeiCXBKJSxwD6w9rbgBam74,RG Brawl,Yellow,GM,Lost Eye Patch,Supreme Intelligence,Human Teeth,Outlaw Hat,,Scaly,
176,11.9,1101,14.05,https://magiceden.io/item-details/DZ9zbaQRuebF2WnV9uwydfyVukdwSJ29XAntpy6qSq2X,Silver Knight,Solana,Tribal Necklace,Red Force,Annihilating Power,Pink Iced Out Grillz,Outlaw Hat,,White Quartz,
180,11.5,6378,0,https://magiceden.io/item-details/BkFG11zHpjnRC485TFhB5ch3N7QWeNyDDEruQiunTX5d,None,Green,None,Subatomic Goggles,Annihilating Power,Emerald Smasher Teeth,Outlaw Hat,,Rainbow,
227,14.99,996,0,https://magiceden.io/item-details/BzwvHzyYaiAYCyVS9wkKuAF9FQ2ph8ZPR8jK2ZCN47Na,Bronze Knight,Endless Grove,Sherlock O'Clock,Neon Shades,Unbreakable Defense,Bubble Gum,Safari Hat,,Red Rock,
238,7.6,3562,45.97,https://magiceden.io/item-details/BU42S6P3TBP1FeDnSpXruv8TbZhZADQGttHYJfYkM9ed,Skeleton,Unexplored Mine,None,Analysis,Unbreakable Defense,Sparse Teeth,None,,Grey Marble,
242,15,1953,0,https://magiceden.io/item-details/eAHSyMfwctSjfTi93izXwQbCJaDYtrc5c1FWd5H9Cza,None,Green Pillars,Rude OG,White Force,Unbreakable Defense,Sabertooth,Sombrero,,Lava,
254,8.2,7146,23.84,https://magiceden.io/item-details/5kdtJvqB3Hkt2gYCEDannKiR5kLELaeTw9WkH6Jza4Gm,None,Peach,None,Purple Force,Unbreakable Defense,Solana Bandana,Bird Family,,Black Obsidian,
268,7.5,1711,55.3,https://magiceden.io/item-details/35TmUPK7xTp4XnhvqvZLkqWJ2Jak2DXq1MEvFKeNUY65,Skeleton,Dangerous Laboratory,None,Neon Shades,Supreme Intelligence,Reptilian Tongue,Halo,,Scaly Albino,
274,19.69,1006,0,https://magiceden.io/item-details/9YZahAUkiXWWuKDEA5UE1dJPBrtu5en9Whh8nZVPy3WW,Bronze Knight,Crystalline Cave,GM,Lost Eye Patch,Unbreakable Defense,Volcano Melter,Sombrero,,Grey Marble,
